p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
FAM13A,4.78315169451618e-203,0.56295133809667,0.575,0.115,4.78028180349947e-199,0,FAM13A
CD46,1.22562645857519e-202,0.630644236173605,0.846,0.322,1.22489108270004e-198,0,CD46
GSTM3,1.09805571664657e-201,0.360146365124597,0.343,0.025,1.09739688321658e-197,0,GSTM3
LAD1,3.6136280754628e-201,0.321619183082004,0.306,0.015,3.61145989861752e-197,0,LAD1
PLPP2,7.43774357188541e-201,0.527349452697621,0.572,0.104,7.43328092574228e-197,0,PLPP2
SFN,4.72751646598603e-200,0.359892663334819,0.356,0.028,4.72467995610644e-196,0,SFN
LDLR,5.17509622607514e-200,0.686099853129971,0.722,0.227,5.17199116833949e-196,0,LDLR
AGL,5.98252994407609e-200,0.430215367235052,0.367,0.034,5.97894042610965e-196,0,AGL
NAV2,2.13936817164627e-199,0.403173031198146,0.393,0.04,2.13808455074328e-195,0,NAV2
ASS1,1.21484123540401e-198,0.341572872049913,0.326,0.021,1.21411233066277e-194,0,ASS1
EPS8L2,9.68096093621849e-198,0.399007523201868,0.396,0.042,9.67515235965676e-194,0,EPS8L2
RASSF7,1.63414160103852e-197,0.464777904243024,0.516,0.085,1.6331611160779e-193,0,RASSF7
DDR1,7.279496218485e-197,0.478684987809798,0.53,0.089,7.27512852075391e-193,0,DDR1
C16orf58,1.70730593033936e-196,0.340031618444462,0.326,0.022,1.70628154678116e-192,0,C16orf58
CLIC3,5.69357249574929e-196,0.343299267256716,0.332,0.023,5.69015635225185e-192,0,CLIC3
CD151,8.53906271568234e-196,0.609727494094522,0.804,0.28,8.53393927805293e-192,0,CD151
CLPTM1L,9.23091462344479e-196,0.512722993101852,0.579,0.123,9.22537607467072e-192,0,CLPTM1L
OSMR,1.81056925661447e-195,0.353623476068394,0.339,0.026,1.8094829150605e-191,0,OSMR
IMPA2,2.02325825424549e-195,0.48367285986815,0.487,0.082,2.02204429929294e-191,0,IMPA2
TMEM98,3.05192836042084e-195,0.449223680202469,0.47,0.067,3.05009720340459e-191,0,TMEM98
DSTN,4.72052220630887e-195,0.631132625794567,0.971,0.521,4.71768989298508e-191,0,DSTN
ICAM1,9.14171999417667e-195,0.667595833724068,0.828,0.309,9.13623496218016e-191,0,ICAM1
MRPL14,3.08850267403501e-193,0.625459552760904,0.867,0.37,3.08664957243058e-189,0,MRPL14
AGR3,3.27258768581003e-193,0.580477925067212,0.619,0.125,3.27062413319854e-189,0,AGR3
CDA,8.70055977033411e-193,0.315159096365229,0.289,0.014,8.69533943447191e-189,0,CDA
SCNN1A,1.09968430098954e-191,0.426238861387299,0.443,0.059,1.09902449040895e-187,0,SCNN1A
HIP1,1.19708765716213e-191,0.459994098840229,0.508,0.091,1.19636940456783e-187,0,HIP1
IGSF3,2.79054130276692e-191,0.299500800576506,0.274,0.011,2.78886697798526e-187,0,IGSF3
STARD10,3.04771952508895e-191,0.481025144362594,0.553,0.103,3.0458908933739e-187,0,STARD10
MTUS1,9.92219186735603e-191,0.418232295787494,0.437,0.058,9.91623855223561e-187,0,MTUS1
ATP1B1,3.84134563469121e-189,0.644012040071582,0.89,0.379,3.83904082731039e-185,0,ATP1B1
TACSTD2,2.69185425049196e-188,0.591142958384762,0.778,0.21,2.69023913794166e-184,0,TACSTD2
ZNF493,2.99185899163708e-188,0.363268408417955,0.35,0.031,2.9900638762421e-184,0,ZNF493
MZT2B,4.95535006204392e-188,0.584257029059878,0.918,0.477,4.95237685200669e-184,0,MZT2B
EDN1,6.42650895291251e-188,0.381848613902725,0.333,0.027,6.42265304754076e-184,0,EDN1
